[2022-02-21 13:45:52.574] [renderer2] [info] IExtensionHostStarter.start() took 22 ms.
[2022-02-21 13:45:52.935] [renderer2] [error] [Extension Host] (node:3108) [DEP0005] DeprecationWarning: Buffer() is deprecated due to security and usability issues. Please use the Buffer.alloc(), Buffer.allocUnsafe(), or Buffer.from() methods instead.
(Use `code --trace-deprecation ...` to show where the warning was created)
[2022-02-21 14:05:05.753] [renderer2] [info] IExtensionHostStarter.start() took 48 ms.
[2022-02-21 14:05:06.021] [renderer2] [error] [Extension Host] (node:8088) [DEP0005] DeprecationWarning: Buffer() is deprecated due to security and usability issues. Please use the Buffer.alloc(), Buffer.allocUnsafe(), or Buffer.from() methods instead.
(Use `code --trace-deprecation ...` to show where the warning was created)
[2022-02-21 14:06:45.060] [renderer2] [info] IExtensionHostStarter.start() took 14 ms.
[2022-02-21 14:06:45.356] [renderer2] [error] [Extension Host] (node:8282) [DEP0005] DeprecationWarning: Buffer() is deprecated due to security and usability issues. Please use the Buffer.alloc(), Buffer.allocUnsafe(), or Buffer.from() methods instead.
(Use `code --trace-deprecation ...` to show where the warning was created)
[2022-02-21 14:07:04.781] [renderer2] [error] [Extension Host] Error: listen EADDRINUSE: address already in use 0.0.0.0:5500
[2022-02-21 14:08:30.613] [renderer2] [error] An unknown error occurred. Please consult the log for more details.
[2022-02-21 14:08:33.371] [renderer2] [error] An unknown error occurred. Please consult the log for more details.
[2022-02-21 14:08:35.734] [renderer2] [error] An unknown error occurred. Please consult the log for more details.
[2022-02-21 14:08:38.069] [renderer2] [error] An unknown error occurred. Please consult the log for more details.
[2022-02-21 14:08:39.190] [renderer2] [error] An unknown error occurred. Please consult the log for more details.
[2022-02-21 14:08:52.278] [renderer2] [error] An unknown error occurred. Please consult the log for more details.
[2022-02-21 14:08:54.980] [renderer2] [error] An unknown error occurred. Please consult the log for more details.
[2022-02-21 14:08:55.997] [renderer2] [error] An unknown error occurred. Please consult the log for more details.
[2022-02-21 14:09:38.081] [renderer2] [error] An unknown error occurred. Please consult the log for more details.
[2022-02-21 14:09:39.852] [renderer2] [error] An unknown error occurred. Please consult the log for more details.
[2022-02-21 14:09:42.182] [renderer2] [error] An unknown error occurred. Please consult the log for more details.
[2022-02-21 14:09:48.822] [renderer2] [error] An unknown error occurred. Please consult the log for more details.
[2022-02-21 14:09:51.839] [renderer2] [error] An unknown error occurred. Please consult the log for more details.
[2022-02-21 14:09:54.813] [renderer2] [error] An unknown error occurred. Please consult the log for more details.
[2022-02-21 14:09:57.462] [renderer2] [error] An unknown error occurred. Please consult the log for more details.
[2022-02-21 14:09:59.396] [renderer2] [error] An unknown error occurred. Please consult the log for more details.
